year,number
1967,1
1969,1
1974,2
1976,1
1981,1
1983,1
1985,2
1986,1
1991,1
1995,1
1999,1
2001,1
2005,1
2006,2
2007,3
2008,2
2009,1
2010,1
2011,1
2013,3
2014,5
2015,2
2016,1
2017,1
2018,1
